# input file for SMUDGE.PRO
# LOCATION <tab> UNIT <tab> LABEL <tab> KEYWORDS
# NOTE: This file is also readable by RDB.PRO
%LOC	UNITS	LABEL	KEYWORDS
%N	S	S	S

# examples
0.511	MeV	electron mass	example
21.0	cm	HI radio line	example
0.94	meter	DI version of 21cm HI line	example
44.28	Ang	C edge	example

#	the following from Table 8.2 of Chandra AXAF proposers' guide
2.089	keV	Ir M-edge	Chandra AXAF ACIS HRMA HRC edges
2.156	keV	Ir M-edge	Chandra AXAF ACIS HRMA HRC edges
2.550	keV	Ir M-edge	Chandra AXAF ACIS HRMA HRC edges
2.909	keV	Ir M-edge	Chandra AXAF ACIS HRMA HRC edges
0.496	keV	Ir N-edge	Chandra AXAF ACIS HRMA HRC edges
2.206	keV	Au M-edge	Chandra AXAF ACIS LETG HETG HEG MEG edges
2.291	keV	Au M-edge	Chandra AXAF ACIS LETG HETG HEG MEG edges
2.743	keV	Au M-edge	Chandra AXAF ACIS LETG HETG HEG MEG edges
3.148	keV	Au M-edge	Chandra AXAF ACIS LETG HETG HEG MEG edges
3.425	keV	Au M-edge	Chandra AXAF ACIS LETG HETG HEG MEG edges
5.012	keV	Cs L-edge	Chandra AXAF HRC edges
5.359	keV	Cs L-edge	Chandra AXAF HRC edges
5.714	keV	Cs L-edge	Chandra AXAF HRC edges
0.7266	keV	Cs M-edge	Chandra AXAF HRC edges
0.7405	keV	Cs M-edge	Chandra AXAF HRC edges
1.003	keV	Cs M-edge	Chandra AXAF HRC edges
1.071	keV	Cs M-edge	Chandra AXAF HRC edges
1.211	keV	Cs M-edge	Chandra AXAF HRC edges
4.577	keV	I L-edge	Chandra AXAF HRC edges
4.852	keV	I L-edge	Chandra AXAF HRC edges
5.188	keV	I L-edge	Chandra AXAF HRC edges
0.6193	keV	I M-edge	Chandra AXAF HRC edges
0.6308	keV	I M-edge	Chandra AXAF HRC edges
0.875	keV	I M-edge	Chandra AXAF HRC edges
0.931	keV	I M-edge	Chandra AXAF HRC edges
1.072	keV	I M-edge	Chandra AXAF HRC edges
1.559	keV	Al K-edge	Chandra AXAF HRC ACIS edges
0.2842	keV	C K-edge	Chandra AXAF HETG HEG MEG HRC ACIS edges
0.4099	keV	N K-edge	Chandra AXAF HETG HEG MEG HRC ACIS edges
0.5431	keV	O K-edge	Chandra AXAF HETG HEG MEG HRC ACIS edges

#	the following from Table 8.3 of Chandra AXAF proposers' guide
0.690	keV	UVIS Inner T	Chandra AXAF UV Ion Shield HRC
18.0	Ang	UVIS Inner T	Chandra AXAF UV Ion Shield HRC
0.235	keV	HRC -ve side gap	Chandra AXAF LETG HRC-S plate gaps
0.225	keV	HRC -ve side gap	Chandra AXAF LETG HRC-S plate gaps
0.200	keV	HRC +ve side gap	Chandra AXAF LETG HRC-S plate gaps
0.193	keV	HRC +ve side gap	Chandra AXAF LETG HRC-S plate gaps

#	the following from Table 8.4 of Chandra AXAF proposers' guide
0.133	keV	S0 LEG gap	Chandra AXAF ACIS-S LETGS S0 offset=0 gaps
0.191	keV	S0-S1 LEG gap	Chandra AXAF ACIS-S LETGS S0-S1 offset=0 gaps
0.193	keV	S0-S1 LEG gap	Chandra AXAF ACIS-S LETGS S0-S1 offset=0 gaps
0.343	keV	S1-S2 LEG gap	Chandra AXAF ACIS-S LETGS S1-S2 offset=0 gaps
0.348	keV	S1-S2 LEG gap	Chandra AXAF ACIS-S LETGS S1-S2 offset=0 gaps
1.669	keV	S2-S3 LEG gap	Chandra AXAF ACIS-S LETGS S2-S3 offset=0 gaps
1.788	keV	S2-S3 LEG gap	Chandra AXAF ACIS-S LETGS S2-S3 offset=0 gaps
0.583	keV	S3-S4 LEG gap	Chandra AXAF ACIS-S LETGS S3-S4 offset=0 gaps
0.569	keV	S3-S4 LEG gap	Chandra AXAF ACIS-S LETGS S3-S4 offset=0 gaps
0.248	keV	S4-S5 LEG gap	Chandra AXAF ACIS-S LETGS S4-S5 offset=0 gaps
0.246	keV	S4-S5 LEG gap	Chandra AXAF ACIS-S LETGS S4-S5 offset=0 gaps
0.158	keV	S5 LEG gap	Chandra AXAF ACIS-S LETGS S5 offset=0 gaps

#	the following from Table 7.2 of Chandra AXAF proposers' guide
0.329	keV	S0 MEG gap	Chandra AXAF ACIS-S HETGS MEG S0 offset=0 gaps
0.657	keV	S0 HEG gap	Chandra AXAF ACIS-S HETGS HEG S0 offset=0 gaps
0.472	keV	S0-S1 MEG gap	Chandra AXAF ACIS-S HETGS MEG S0 S1 offset=0 gaps
0.476	keV	S0-S1 MEG gap	Chandra AXAF ACIS-S HETGS MEG S0 S1 offset=0 gaps
0.943	keV	S0-S1 HEG gap	Chandra AXAF ACIS-S HETGS HEG S0 S1 offset=0 gaps
0.951	keV	S0-S1 HEG gap	Chandra AXAF ACIS-S HETGS HEG S0 S1 offset=0 gaps
0.847	keV	S1-S2 MEG gap	Chandra AXAF ACIS-S HETGS MEG S1 S2 offset=0 gaps
0.859	keV	S1-S2 MEG gap	Chandra AXAF ACIS-S HETGS MEG S1 S2 offset=0 gaps
1.693	keV	S1-S2 HEG gap	Chandra AXAF ACIS-S HETGS HEG S1 S2 offset=0 gaps
1.716	keV	S1-S2 HEG gap	Chandra AXAF ACIS-S HETGS HEG S1 S2 offset=0 gaps
4.121	keV	S2-S3 MEG gap	Chandra AXAF ACIS-S HETGS MEG S2 S3 offset=0 gaps
4.414	keV	S2-S3 MEG gap	Chandra AXAF ACIS-S HETGS MEG S2 S3 offset=0 gaps
8.235	keV	S2-S3 HEG gap	Chandra AXAF ACIS-S HETGS HEG S2 S3 offset=0 gaps
8.821	keV	S2-S3 HEG gap	Chandra AXAF ACIS-S HETGS HEG S2 S3 offset=0 gaps
1.438	keV	S3-S4 MEG gap	Chandra AXAF ACIS-S HETGS MEG S3 S4 offset=0 gaps
1.406	keV	S3-S4 MEG gap	Chandra AXAF ACIS-S HETGS MEG S3 S4 offset=0 gaps
2.874	keV	S3-S4 HEG gap	Chandra AXAF ACIS-S HETGS HEG S3 S4 offset=0 gaps
2.809	keV	S3-S4 HEG gap	Chandra AXAF ACIS-S HETGS HEG S3 S4 offset=0 gaps
0.612	keV	S4-S5 MEG gap	Chandra AXAF ACIS-S HETGS MEG S4 S5 offset=0 gaps
0.606	keV	S4-S5 MEG gap	Chandra AXAF ACIS-S HETGS MEG S4 S5 offset=0 gaps
1.224	keV	S4-S5 HEG gap	Chandra AXAF ACIS-S HETGS HEG S4 S5 offset=0 gaps
1.212	keV	S4-S5 HEG gap	Chandra AXAF ACIS-S HETGS HEG S4 S5 offset=0 gaps
0.389	keV	S5 MEG gap	Chandra AXAF ACIS-S HETGS MEG S0 offset=0 gaps
0.777	keV	S5 HEG gap	Chandra AXAF ACIS-S HETGS HEG S0 offset=0 gaps

#	the following from HEASARC's EDGEENERGY table
#	http://heasarc.gsfc.nasa.gov/W3Browse/physics-data/edgeenergy.html
10.66	keV	Ni XXVIII K	Ni XXVIII K-edge edgeenergy
10.19	keV	Ni XXVII K	Ni XXVII K-edge edgeenergy
10.05	keV	Ni XXVI  K	Ni XXVI  K-edge edgeenergy
9.902	keV	Ni XXV   K	Ni XXV   K-edge edgeenergy
9.741	keV	Ni XXIV  K	Ni XXIV  K-edge edgeenergy
9.583	keV	Ni XXIII K	Ni XXIII K-edge edgeenergy
9.428	keV	Ni XXII  K	Ni XXII  K-edge edgeenergy
9.279	keV	Ni XXI   K	Ni XXI   K-edge edgeenergy
